Player Name,Ping,Kills,Assists,Deaths,MVP,HSP,Score
abhi17,39,17,4,24,2,29,41
nants,54,11,3,22,0,54,33
link1n,54,12,2,22,2,50,31
TrOlLgAmEr69,39,28,3,13,5,42,76
"きゃせ, Kyase",36,25,6,21,0,36,61
"I am Karl, King of Ducks.",31,21,4,21,5,28,57
tAngent^,28,21,3,21,4,36,50
sEcant^,26,13,3,20,0,46,30
TerMinatoR^,47,27,5,14,3,68,61
bella ciao,105,25,4,14,8,36,58
DJ RAJU,23,19,6,15,2,36,46
DzGOD,21,18,3,18,0,44,41
Jdgodd,43,10,8,16,2,40,28
DNB,33,22,5,20,2,59,52
sn0w,31,18,5,21,4,16,41
abhi17,19,17,5,17,2,47,39
link1n,31,13,3,20,0,15,29
reedkihaddi,47,5,3,23,0,20,13
equinoxxxx,65,32,2,19,4,31,66
junoooo,51,18,1,17,0,38,37
Cloud,59,13,4,20,2,30,30
渔梣,93,9,3,16,0,11,21
Psychowow,54,4,3,19,0,50,11
sn0w,46,23,2,15,6,39,60
reedkihaddi,68,19,3,14,0,45,49
link1n,46,15,3,14,2,46,42
abhi17,40,16,7,17,3,18,40
DNB,59,18,2,17,4,50,39
Darktitan27,31,34,5,23,6,26,79
abhi17,23,21,8,21,3,28,59
reedkihaddi,47,24,4,23,3,41,57
p3ni5,249,17,3,21,2,29,52
sn0w,0,14,4,21,0,53,35
✪ -Lazy-King-Maes-,39,34,6,23,6,26,82
BOT Ronin,35,29,4,22,4,20,81
deadmau5,84,17,5,22,2,41,47
DONI,72,16,2,19,3,75,41
cande1a,43,13,2,25,0,15,31
Darktitan27,31,30,8,16,4,60,68
sn0w,31,20,7,12,5,40,54
p3ni5,249,16,1,16,3,17,44
reedkihaddi,49,19,3,13,2,26,42
abhi17,17,11,1,13,2,25,23
random d2,41,20,2,18,2,50,49
⍟The_🅶eneraL⍟,45,13,3,20,2,28,36
The_4tH,92,11,6,23,2,54,33
🅽🅴🆁🅾 CS.MONEY,91,14,2,21,0,50,30
Qwerty,0,13,2,21,2,38,28
Niko,7,29,3,22,4,43,65
francesca,36,23,2,20,3,39,50
TaMaO-sErIzAwA [2.0]™,62,18,3,19,0,36,44
Abhi,31,13,2,20,2,38,30
§Þèćťâťŏŕ,5,11,4,23,0,72,27
sn0w,46,28,5,19,6,53,69
Darktitan27,46,25,4,20,4,56,56
abhi17,39,20,7,18,0,40,51
DNB,60,17,2,20,4,35,38
reedkihaddi,60,12,6,19,0,8,34
vga_,62,29,5,20,3,41,72
KINGPIN,46,21,1,20,2,28,50
WOUNDED LION,47,21,5,20,4,57,47
Zeus,61,14,4,17,2,35,35
UrbanMai,34,6,2,20,0,66,15
Darktitan27,32,31,2,21,6,58,73
DNB,64,28,0,13,6,32,66
sn0w,43,18,4,20,2,44,51
reedkihaddi,67,10,5,19,0,27,32
abhi17,50,9,8,19,0,33,29
nV,97,9,1,9,0,66,19
DeathSlayer2711,0,4,0,8,0,0,8
keepmycoo,26,3,2,10,0,33,8
Colonel,91,2,0,9,0,50,4
D.N.A,0,0,0,0,0,0,0
sn0w,27,14,1,3,4,35,41
reedkihaddi,60,12,3,3,2,75,28
Darktitan27,44,11,0,4,2,81,26
abhi17,26,6,4,6,0,66,19
DNB,41,2,0,6,0,50,4
Darktitan27,37,29,3,18,6,37,73
DNB,52,19,5,16,0,25,54
sn0w,52,17,4,23,4,41,46
sammy,48,17,5,19,0,23,44
reedkihaddi,58,11,6,27,2,45,33
✪ titaN,70,28,6,19,6,21,67
Jach_Hammer,57,19,3,19,5,36,57
✪ J ₳ ℟ ℣︎ ї S ✪,91,24,2,19,2,33,52
rambo__7,25,18,2,18,2,11,45
SCORP!ON---->>,34,13,6,19,0,38,35
Self Reliance,64,23,4,20,3,52,58
Krisp,59,24,4,24,3,33,57
reedkihaddi,75,24,4,22,4,37,55
𝙖𝙡𝙛𝙞𝙚,65,16,6,22,0,50,40
stat1c,75,7,5,24,0,14,23
PAPA JOHN,40,33,3,16,4,24,78
Lucy,58,23,5,20,7,43,66
Je Ha,48,24,8,17,2,29,64
I'M GROOT,5,17,6,21,3,41,50
BHOSADIWALE CHACHA,35,15,2,20,0,13,36
awplifter,89,22,3,18,3,12,48
PUTA MADRE.,58,17,1,17,2,29,44
Yeet,37,18,4,19,0,22,42
.Komorebi.,73,11,4,20,0,63,28
Poseidon,28,7,4,20,0,37,26
DNB,40,25,6,14,6,23,63
sn0w,31,20,7,20,2,15,59
p3ni5,250,16,4,13,4,18,45
link1n,30,14,1,14,0,7,37
reedkihaddi,45,14,5,19,3,26,35
SKKITTEN,45,32,2,15,7,62,72
sn0w,27,24,3,12,4,41,53
reedkihaddi,36,21,4,19,3,42,48
abhi17,27,10,6,10,2,20,27
KILLOWOTS,0,8,1,10,0,44,17
mvMARTIN,9,19,4,19,2,26,44
FARZI || s1mple,78,17,4,19,2,29,41
Atank,38,16,3,20,3,68,37
caustic,72,9,5,22,0,44,23
Aomine Daiki,0,9,2,15,0,20,23
✪ sickowill,62,26,5,16,5,46,62
Gentle,85,22,4,11,0,27,52
SheraBoyka,70,18,6,17,3,50,46
✪ Oxy,98,17,4,14,3,41,44
DarrellD-Bot mode,64,14,3,13,4,21,32
sn0w,47,17,5,18,5,17,42
abhi17,44,16,4,19,2,43,41
p3ni5,227,15,3,20,0,40,40
reedkihaddi,53,14,2,20,0,42,32
link1n,31,9,5,20,0,22,23
Darktitan27,46,32,6,12,7,40,72
reedkihaddi,40,20,2,7,3,20,44
DaNooBro,37,16,4,9,3,31,40
link1n,31,11,5,10,0,18,28
abhi17,22,9,4,9,2,11,24
LoRd SpOdOrMoN,36,20,1,18,0,25,48
ABC,76,7,4,19,0,14,23
p1mple_flusha,101,6,4,19,0,28,20
aminnoob,0,4,1,7,2,25,9
Mad_@ngles,0,3,1,16,0,33,8
Darktitan27,47,39,3,20,7,35,88
DaNooBro,48,26,2,20,3,38,58
p3ni5,210,15,5,24,3,53,43
reedkihaddi,54,14,2,21,0,42,33
sn0w,0,11,2,23,0,9,29
Magic,52,41,6,16,7,24,95
ALESTA,43,18,3,23,2,47,43
stoner.,46,20,1,24,3,35,41
Lunatic!,47,14,5,20,0,21,35
GOD,68,13,0,24,2,21,32
sn0w,43,29,8,26,7,44,85
reedkihaddi,59,27,9,21,3,32,69
abhi17,36,22,6,22,3,22,56
link1n,47,16,4,23,2,25,53
DNB,47,14,0,15,0,20,29
Redante,0,40,7,17,3,9,95
JIYEL,63,18,7,24,4,38,53
Astoh Wiruloh Halngadim,62,15,6,24,2,46,47
Brillionaire,65,17,3,25,5,23,44
O mems ciao,0,9,4,9,0,40,26
link1n,23,23,3,21,5,20,65
Darktitan27,27,25,7,23,6,36,64
DNB,37,27,3,16,4,25,63
reedkihaddi,35,22,4,21,0,26,53
abhi17,24,19,3,23,0,21,42
SIDSCAN,28,26,5,25,5,30,66
Velfonous,35,24,3,22,3,25,52
Tr1x,43,15,4,21,2,26,49
the godfather {jsr},76,18,3,23,2,27,48
⭕⃤chasedUP,27,19,5,26,0,47,43
reedkihaddi,56,22,6,20,2,22,56
